NewYorkCity;-38.-8;12.8;62.3
Berlin;-40.0;10.2;64.8
HoChiMinhCity;-20.-6;27.3;80.3
AddisAbaba;-33.-1;15.9;68.1
Gagnoa;-24.-7;26.0;74.9
Havana;-30.-6;25.2;74.7
Ashgabat;-36.-4;17.0;66.1
PortVila;-27.-8;24.2;71.9
Parakou;-22.-2;26.7;76.2
Lyon;-34.-8;12.4;64.1
Ottawa;-43.-1;6.5;58.7
AndorralaVella;-40.-6;9.8;62.7
Garoua;-21.0;28.2;78.6
Lviv;-41.-1;7.8;59.7
Hamilton;-35.-6;13.7;64.5
Baku;-34.-8;15.1;64.4
VirginiaBeach;-34.-6;15.7;70.1
Bordeaux;-34.-4;14.1;68.6
Porto;-34.-4;15.7;62.9
Guangzhou;-28.0;22.4;71.9
Portland{OR};-38.-9;12.4;60.2
Yinchuan;-39.-2;8.9;56.2
Lisbon;-36.-9;17.5;70.0
Cracow;-40.-5;9.2;57.2
Ouarzazate;-29.-4;18.8;69.7
Ljubljana;-35.-4;10.9;60.5
Alexandria;-31.-9;19.9;70.8
Odienné;-24.-9;25.9;73.3
Thessaloniki;-32.-8;16.0;68.7
Stockholm;-41.-9;6.6;56.7
Dhaka;-24.-8;25.8;78.5
Mumbai;-24.-7;27.1;76.1
Miami;-24.-9;24.8;75.2
Split;-33.-2;16.1;65.0
Assab;-18.-5;30.4;79.2
Auckland;-44.-9;15.1;67.7
ChiangMai;-25.-3;25.7;74.8
Kolkata;-23.-5;26.7;74.8
Nairobi;-31.-3;17.7;64.2
Irkutsk;-46.-7;1.0;49.2
Tirana;-31.-7;15.1;65.2
Niigata;-35.-2;13.9;64.8
Djibouti;-21.-2;29.8;77.8
ZanzibarCity;-22.-1;25.9;76.3
Aden;-18.-9;29.0;78.4
Ségou;-21.0;27.9;80.6
Anchorage;-47.-2;2.7;57.7
LaPaz;-24.-6;23.6;75.6
Guadalajara;-26.-7;20.9;74.1
Jerusalem;-33.-1;18.3;67.3
Ahvaz;-26.-1;25.4;77.1
Arkhangelsk;-50.-8;1.3;49.8
Boston;-39.-8;10.9;70.4
Roseau;-23.-6;26.1;77.4
Istanbul;-34.-4;13.8;67.1
Monaco;-34.0;16.3;67.2
Bosaso;-20.-7;29.9;78.8
Tripoli;-31.-8;19.9;74.3
Athens;-30.0;19.1;69.0
Kano;-22.-3;26.4;75.7
Montreal;-42.-4;6.8;63.7
Cotonou;-23.0;27.1;80.1
Suwałki;-45.-4;7.1;58.1
Bilbao;-35.-7;14.7;64.0
SanFrancisco;-31.-3;14.5;62.0
Hanoi;-26.-9;23.6;75.7
Saint-Pierre;-45.-1;5.7;56.9
Almaty;-37.-8;10.0;58.4
Hobart;-37.-9;12.6;61.5
Nassau;-23.-4;24.5;75.0
Prague;-42.-4;8.3;55.8
Dikson;-65.0;-11.-1;36.9
Milwaukee;-40.-2;8.8;58.8
Ulaanbaatar;-48.-1;0.-3;52.0
Pretoria;-30.-8;18.1;66.6
Perth;-31.-2;18.6;67.3
Busan;-36.-9;15.0;62.7
Toluca;-39.-3;12.4;65.1
Banjul;-23.0;26.0;75.6
Winnipeg;-45.-4;3.0;60.0
Wichita;-36.-1;13.8;63.2
GjoaHaven;-61.-8;-14.-3;33.8
Alexandra;-39.-9;11.0;61.3
Sacramento;-39.-1;16.2;68.7
Upington;-31.-6;20.4;68.5
Sochi;-36.-5;14.1;64.6
Indianapolis;-36.-2;11.7;62.2
LosAngeles;-32.-9;18.6;72.2
Birao;-25.-6;26.5;72.9
Murmansk;-50.-3;0.5;52.9
SanJosé;-24.-7;22.5;70.7
Atlanta;-36.-3;17.0;66.3
Naha;-30.0;23.1;75.4
Burnie;-34.-3;13.1;62.2
Tampa;-28.-7;22.8;73.0
Tamanrasset;-27.-5;21.6;72.0
Paris;-42.-7;12.2;62.3
Khartoum;-20.-5;29.9;78.7
Novosibirsk;-49.-3;1.6;53.0
Gaborone;-26.-4;21.0;70.5
Valletta;-34.0;18.7;70.4
Mzuzu;-34.-9;17.7;65.5
Benghazi;-31.-9;19.8;66.9
Manila;-20.-9;28.4;79.6
Riga;-45.-5;6.1;54.5
İzmir;-30.-1;17.8;68.5
KualaLumpur;-22.-9;27.3;74.7
Washington,DC;-35.-5;14.5;66.9
Podgorica;-33.-8;15.3;65.1
Beirut;-30.-5;20.8;69.2
Lusaka;-29.-3;19.8;69.2
Honiara;-26.-8;26.5;75.7
Tokyo;-33.-5;15.4;62.8
Rome;-35.-7;15.2;64.9
Sydney;-28.-7;17.7;68.8
Fukuoka;-33.-1;17.0;65.4
Charlotte;-34.0;16.0;63.2
Pyongyang;-39.0;10.8;60.0
Yangon;-21.-8;27.4;80.3
Edinburgh;-39.-8;9.2;60.2
Madrid;-40.-5;14.9;66.7
Ürümqi;-41.-5;7.3;59.1
PalmSprings;-24.-1;24.4;72.7
Tauranga;-32.-9;14.8;66.2
Yaoundé;-25.-3;23.7;72.4
Managua;-24.-5;27.3;75.2
Boise;-37.-5;11.4;62.2
Fairbanks;-52.-3;-2.-3;48.8
Mahajanga;-25.-6;26.3;74.4
N'Djamena;-21.-5;28.3;81.4
Kabul;-36.-4;12.0;66.5
LuxembourgCity;-37.-9;9.2;58.6
Damascus;-35.-9;16.9;65.1
Lomé;-26.-6;26.9;81.7
Zürich;-40.-1;9.2;60.2
Timbuktu;-20.-4;27.9;80.1
CapeTown;-33.-6;16.2;66.4
Wrocław;-46.-9;9.5;56.4
SaltLakeCity;-37.-9;11.6;63.6
Toliara;-25.-5;24.1;70.7
Austin;-29.-8;20.6;69.7
Libreville;-23.-3;25.8;79.0
Reggane;-21.-4;28.3;83.5
Brisbane;-28.-5;21.4;75.7
Batumi;-33.-7;13.9;67.3
Sana'a;-31.-6;19.9;67.5
NakhonRatchasima;-20.-9;27.2;76.1
Vienna;-38.-6;10.3;61.7
HangaRoa;-27.-3;20.5;69.3
Singapore;-25.-9;26.9;75.1
PanamaCity;-25.-4;27.9;81.1
Erzurum;-50.0;5.0;54.8
Kampala;-29.-9;20.0;70.1
Villahermosa;-22.-7;27.1;82.5
Zagreb;-38.-2;10.6;60.2
HatYai;-25.-1;26.9;78.2
Johannesburg;-33.-6;15.4;64.2
CaboSanLucas;-25.-4;23.9;72.7
Skopje;-36.-2;12.4;63.4
Kathmandu;-31.-2;18.2;67.4
Whitehorse;-50.-2;0.-1;47.6
Livingstone;-26.-4;21.8;73.4
SantoDomingo;-21.-7;25.9;80.6
Wellington;-35.-5;12.8;60.9
Tamale;-21.-9;27.9;77.7
Taipei;-26.-5;23.0;71.5
Tabora;-27.-4;22.9;73.0
Fianarantsoa;-36.-5;17.9;67.6
SaintPetersburg;-43.-5;5.7;49.9
Thiès;-25.-9;23.9;73.5
StJohn's;-42.0;4.9;54.7
Kuopio;-45.-1;3.4;50.8
Canberra;-36.-2;13.1;62.1
Mombasa;-22.-2;26.2;76.4
Ouahigouya;-25.-3;28.6;79.1
Helsinki;-48.0;5.8;55.2
Dampier;-21.-9;26.3;77.0
Napier;-36.-1;14.6;63.9
DaresSalaam;-23.-3;25.8;74.8
AliceSprings;-29.-1;20.9;70.4
Entebbe;-31.0;20.9;70.1
Tehran;-35.0;16.9;65.8
Odesa;-41.-4;10.7;62.7
Sapporo;-40.-3;8.8;56.8
MexicoCity;-34.-9;17.4;67.0
Vladivostok;-49.-4;4.8;52.6
Kyoto;-38.-6;15.8;71.9
Amsterdam;-37.-1;10.1;61.8
Chicago;-37.-5;9.8;58.1
Iqaluit;-57.-5;-9.-2;40.4
Rabat;-32.-7;17.1;70.0
Riyadh;-25.-2;25.9;74.7
Mandalay;-21.-6;28.0;79.5
Toronto;-45.0;9.4;60.1
Xi'an;-35.-5;14.1;61.8
SanJose;-36.-1;16.3;67.3
Manama;-24.-1;26.5;77.5
Honolulu;-26.-5;25.3;74.5
Wau;-24.0;27.7;78.8
Tunis;-32.-3;18.4;66.0
Jos;-29.-2;22.7;70.2
Baghdad;-28.0;22.7;71.3
Vientiane;-24.-9;25.8;78.5
Lubumbashi;-28.-9;20.7;69.4
Christchurch;-41.-8;12.1;61.2
Monterrey;-25.-3;22.2;74.1
Juba;-20.-8;27.7;78.2
Petropavlovsk-Kamchatsky;-48.-7;1.9;51.8
Muscat;-20.0;28.0;77.0
Palembang;-23.-3;27.3;78.9
Minsk;-41.-3;6.6;59.1
NewOrleans;-27.-1;20.7;71.7
Conakry;-21.-5;26.4;74.9
Valencia;-33.-2;18.2;69.1
Philadelphia;-35.-8;13.2;61.0
Saskatoon;-48.-4;3.3;57.2
Ankara;-38.-5;11.9;60.4
SanSalvador;-26.-2;23.1;70.0
Garissa;-25.-3;29.2;77.9
Louisville;-34.-1;13.8;63.3
PortSudan;-22.-2;28.3;79.5
Medan;-26.-1;26.4;78.2
Dodoma;-24.-5;22.7;73.5
Mek'ele;-30.-3;22.6;71.3
Karachi;-23.-8;25.9;75.9
Marseille;-33.-2;15.7;67.2
Seville;-30.-3;19.1;77.0
Accra;-24.-4;26.4;74.9
SanDiego;-32.-8;17.7;68.0
Kyiv;-43.-8;8.3;57.0
Sarajevo;-43.0;10.1;61.7
BelizeCity;-20.-6;26.7;75.7
Dublin;-42.-1;9.8;57.7
Gabès;-31.-9;19.4;70.4
Bratislava;-37.-5;10.5;62.2
Fresno;-36.-3;17.8;70.2
Omaha;-36.-3;10.6;60.5
Launceston;-36.-7;13.0;64.1
Minneapolis;-44.-3;7.7;55.4
LakeHavasuCity;-29.-1;23.7;72.9
Vancouver;-41.0;10.4;58.0
Belgrade;-44.-6;12.5;65.5
Oulu;-51.0;2.7;56.0
Chișinău;-37.-3;10.1;60.2
Jakarta;-21.-1;26.7;75.6
Port-Gentil;-24.-8;25.9;75.0
Phoenix;-24.-8;23.9;76.7
Algiers;-30.-1;18.1;67.9
PhnomPenh;-24.0;28.3;75.9
Lagos;-24.0;26.7;78.7
Yerevan;-35.-3;12.4;61.4
Yellowknife;-54.-1;-4.-2;46.6
Dili;-22.-5;26.6;73.0
LakeTekapo;-42.-9;8.7;60.0
Cairns;-26.-9;25.0;75.3
StLouis;-33.-8;13.9;60.8
Bissau;-21.-5;27.0;78.5
Harare;-30.-9;18.4;69.5
Hiroshima;-32.-8;16.3;64.6
Nashville;-35.-4;15.4;68.2
Bamako;-26.-5;27.8;78.6
Columbus;-40.-5;11.7;61.7
Asmara;-35.-3;15.6;63.8
Makurdi;-24.-8;26.0;71.6
Praia;-26.0;24.3;75.4
Tegucigalpa;-24.-9;21.6;70.9
Edmonton;-45.-1;4.2;57.1
Ifrane;-36.-2;11.4;59.4
Sofia;-39.-1;10.6;62.4
GuatemalaCity;-29.-5;20.4;69.0
CityofSanMarino;-35.-7;11.7;61.7
Gangtok;-37.-7;15.1;63.1
Dunedin;-35.-2;11.0;58.0
Frankfurt;-44.0;10.5;60.2
Bangkok;-18.-3;28.5;77.9
Ghanzi;-28.-2;21.4;71.2
Hamburg;-44.-6;9.6;59.3
LasVegas;-26.-7;20.3;71.1
SanAntonio;-27.-1;20.8;68.8
Maputo;-27.-6;22.8;73.4
Mogadishu;-23.-1;27.1;74.5
Nuuk;-53.-1;-1.-3;57.9
Nouadhibou;-34.-5;21.2;71.5
LaCeiba;-26.-6;26.1;76.1
Houston;-28.-3;20.8;69.4
Lahore;-24.0;24.3;75.7
Warsaw;-43.-2;8.5;56.2
Moscow;-45.-2;5.7;52.1
KansasCity;-35.-7;12.5;63.1
Melbourne;-36.-1;15.0;67.9
Dubai;-22.-4;26.9;77.5
Calgary;-46.-3;4.4;55.0
KuwaitCity;-24.-7;25.7;76.9
Antananarivo;-31.-7;17.8;67.8
Tabriz;-37.-7;12.5;59.9
GeorgeTown;-24.-9;27.9;79.9
London;-42.-7;11.3;63.8
Kunming;-34.-4;15.7;70.3
Durban;-35.0;20.5;72.6
Tbilisi;-38.-8;12.8;66.0
DaNang;-26.-4;25.8;80.4
NewDelhi;-24.-1;25.0;76.9
Kingston;-22.-7;27.4;77.1
Tallinn;-46.-6;6.3;54.4
Oslo;-44.-2;5.6;61.9
Abidjan;-20.-6;26.0;73.5
Yakutsk;-58.0;-8.-7;42.7
Blantyre;-26.-8;22.2;70.4
Tashkent;-35.-5;14.7;69.3
Suva;-25.-4;25.6;74.4
Kinshasa;-21.-4;25.3;77.1
Dakar;-29.-7;24.0;71.9
Bouaké;-22.-8;25.9;77.4
Tromsø;-45.-5;2.8;52.4
Veracruz;-23.-8;25.3;80.7
Bulawayo;-28.-8;18.8;67.4
Denver;-39.-2;10.3;61.6
Vaduz;-43.-3;10.1;60.3
Dushanbe;-41.-1;14.6;65.6
Budapest;-41.-8;11.3;60.3
Copenhagen;-42.-7;9.1;57.0
Halifax;-40.-4;7.4;55.5
Willemstad;-21.-5;28.0;76.3
Pittsburgh;-36.-3;10.8;62.0
DaLat;-33.-9;17.8;70.3
Barcelona;-30.-7;18.1;66.0
Nicosia;-30.0;19.7;70.8
Cairo;-30.0;21.4;71.5
Napoli;-45.0;15.9;68.9
Heraklion;-29.-3;18.8;69.2
Erbil;-31.-6;19.5;73.4
Seoul;-36.-3;12.5;62.5
Chittagong;-24.0;25.8;74.5
TelAviv;-28.-1;20.0;78.1
SanJuan;-26.-2;27.1;78.0
Douala;-24.-2;26.7;75.5
Marrakesh;-31.-8;19.5;70.4
Kumasi;-25.-4;25.9;73.2
LasPalmasdeGranCanaria;-29.-1;21.1;70.8
Chihuahua;-29.0;18.5;70.6
Malé;-21.-6;27.9;77.0
Adelaide;-30.-3;17.3;68.4
Karonga;-33.0;24.3;74.9
Changsha;-31.-4;17.3;65.0
Luanda;-24.0;25.8;73.8
Niamey;-19.-4;29.2;82.4
Bishkek;-40.-4;11.3;63.6
Flores,Petén;-24.-8;26.4;77.7
Jayapura;-20.-9;27.0;76.4
Maun;-25.-3;22.3;72.0
Baltimore;-38.-4;13.0;63.5
Milan;-44.-8;12.9;64.8
Hargeisa;-29.-3;21.7;70.6
Anadyr;-56.-8;-6.-9;46.7
Seattle;-40.0;11.2;59.4
Abéché;-21.-1;29.3;79.3
Bangui;-27.0;26.0;79.0
ElPaso;-34.-5;18.1;66.5
Beijing;-38.-6;12.8;60.9
Malabo;-22.-1;26.3;82.9
OklahomaCity;-35.0;15.8;65.4
Bloemfontein;-34.-5;15.5;65.2
Surabaya;-20.-5;27.0;82.4
Palermo;-30.-2;18.5;68.1
Jacksonville;-30.-7;20.2;78.4
Dolisie;-29.-7;23.9;73.2
Albuquerque;-34.-8;13.9;70.4
Reykjavík;-44.-4;4.3;54.5
Bergen;-46.-9;7.7;56.1
HongKong;-27.-5;23.3;73.5
Ngaoundéré;-30.-1;21.9;73.4
Bujumbura;-26.-5;23.8;76.8
Astana;-47.-3;3.4;49.8
Baguio;-28.-1;19.5;73.1
Kankan;-25.-3;26.5;78.1
Lodwar;-20.-2;29.2;76.7
Rangpur;-24.-9;24.4;76.5
Makassar;-27.-4;26.6;74.9
Toamasina;-26.-1;23.4;74.4
Memphis;-29.-2;17.1;66.4
Bucharest;-38.-5;10.8;58.6
PortMoresby;-24.-7;26.9;75.7
Denpasar;-26.-3;23.6;74.3
Moncton;-42.-4;6.0;55.7
Mango;-20.-8;28.0;75.8
Vilnius;-41.-5;5.9;56.3
Chongqing;-34.-7;18.5;67.0
Dallas;-33.-1;19.0;73.3
Lhasa;-41.0;7.6;54.0
Pontianak;-23.-3;27.6;77.4
Kandi;-24.-7;27.7;78.8
Antsiranana;-22.-6;25.2;75.8
Ouagadougou;-20.-4;28.2;76.2
Rostov-on-Don;-42.-4;9.9;57.9
Colombo;-20.-7;27.4;80.6
Brazzaville;-22.-8;25.0;76.8
Bata;-23.-1;25.1;75.8
Nouakchott;-26.-4;25.6;76.9
Sokoto;-19.-4;28.0;79.9
Mexicali;-27.-4;23.1;72.4
Harbin;-42.-3;4.9;54.1
Detroit;-40.-5;10.0;63.8
PalmerstonNorth;-35.-1;13.2;62.4
Abha;-33.-3;17.9;68.9
Bridgetown;-21.-1;27.0;76.4
Brussels;-41.-6;10.5;60.2
Shanghai;-35.-6;16.7;67.4
Pointe-Noire;-27.-3;26.1;84.4
Darwin;-25.-5;27.5;75.2
Ndola;-30.-5;20.3;75.0
Tucson;-25.-3;20.9;69.6
Oranjestad;-18.-2;28.1;77.9
Tijuana;-34.-1;17.8;65.0
